# Time step:                0.000010
# Total time (years):      20.000000
# Jupiter-Sun mass ratio:   0.950000
# Earth-Sun mass ratio:     0.000003
#
#        t          x_earth       y_earth      x_jupiter     y_jupiter       x_sun         y_sun
     0.0000000     0.9830000     0.0000000     4.9504000     0.0000000
     0.0010000     0.9829806     0.0064459     4.9503992     0.0029629
     0.0020000     0.9829227     0.0128915     4.9503968     0.0059259
     0.0030000     0.9828263     0.0193366     4.9503927     0.0088888
     0.0040000     0.9826915     0.0257809     4.9503871     0.0118517
     0.0050000     0.9825182     0.0322241     4.9503798     0.0148146
     0.0060000     0.9823064     0.0386660     4.9503710     0.0177776
     0.0070000     0.9820563     0.0451062     4.9503605     0.0207405
     0.0080000     0.9817677     0.0515446     4.9503484     0.0237034
     0.0090000     0.9814407     0.0579807     4.9503347     0.0266663
     0.0100000     0.9810753     0.0644145     4.9503194     0.0296292
     0.0110000     0.9806715     0.0708456     4.9503024     0.0325921
     0.0120000     0.9802294     0.0772737     4.9502839     0.0355549
     0.0130000     0.9797489     0.0836985     4.9502638     0.0385178
     0.0140000     0.9792302     0.0901199     4.9502420     0.0414806
     0.0150000     0.9786732     0.0965375     4.9502186     0.0444435
     0.0160000     0.9780779     0.1029510     4.9501937     0.0474063
     0.0170000     0.9774444     0.1093603     4.9501671     0.0503691
     0.0180000     0.9767727     0.1157650     4.9501389     0.0533319
     0.0190000     0.9760629     0.1221648     4.9501091     0.0562946
     0.0200000     0.9753150     0.1285595     4.9500777     0.0592574
     0.0210000     0.9745290     0.1349489     4.9500446     0.0622201
     0.0220000     0.9737050     0.1413326     4.9500100     0.0651828
     0.0230000     0.9728430     0.1477104     4.9499737     0.0681455
     0.0240000     0.9719430     0.1540821     4.9499359     0.0711082
     0.0250000     0.9710052     0.1604473     4.9498964     0.0740708
     0.0260000     0.9700295     0.1668058     4.9498553     0.0770334
     0.0270000     0.9690160     0.1731574     4.9498126     0.0799960
     0.0280000     0.9679648     0.1795017     4.9497683     0.0829586
     0.0290000     0.9668758     0.1858385     4.9497224     0.0859211
     0.0300000     0.9657493     0.1921676     4.9496749     0.0888837
     0.0310000     0.9645852     0.1984887     4.9496257     0.0918461
     0.0320000     0.9633835     0.2048016     4.9495750     0.0948086
     0.0330000     0.9621445     0.2111059     4.9495226     0.0977710
     0.0340000     0.9608680     0.2174014     4.9494686     0.1007334
     0.0350000     0.9595542     0.2236879     4.9494131     0.1036958
     0.0360000     0.9582032     0.2299650     4.9493559     0.1066581
     0.0370000     0.9568149     0.2362327     4.9492971     0.1096204
     0.0380000     0.9553896     0.2424904     4.9492366     0.1125827
     0.0390000     0.9539272     0.2487382     4.9491746     0.1155449
     0.0400000     0.9524279     0.2549756     4.9491110     0.1185071
     0.0410000     0.9508917     0.2612024     4.9490457     0.1214692
     0.0420000     0.9493187     0.2674183     4.9489789     0.1244313
     0.0430000     0.9477089     0.2736232     4.9489104     0.1273934
     0.0440000     0.9460625     0.2798168     4.9488404     0.1303554
     0.0450000     0.9443796     0.2859987     4.9487687     0.1333174
     0.0460000     0.9426602     0.2921688     4.9486954     0.1362793
     0.0470000     0.9409043     0.2983269     4.9486205     0.1392412
     0.0480000     0.9391122     0.3044725     4.9485440     0.1422030
     0.0490000     0.9372839     0.3106056     4.9484658     0.1451648
     0.0500000     0.9354195     0.3167259     4.9483861     0.1481266
     0.0510000     0.9335191     0.3228331     4.9483047     0.1510883
     0.0520000     0.9315827     0.3289270     4.9482218     0.1540499
     0.0530000     0.9296106     0.3350072     4.9481372     0.1570115
     0.0540000     0.9276027     0.3410737     4.9480510     0.1599731
     0.0550000     0.9255592     0.3471262     4.9479633     0.1629346
     0.0560000     0.9234801     0.3531643     4.9478739     0.1658961
     0.0570000     0.9213657     0.3591879     4.9477829     0.1688574
     0.0580000     0.9192159     0.3651967     4.9476902     0.1718188
     0.0590000     0.9170310     0.3711906     4.9475960     0.1747801
     0.0600000     0.9148109     0.3771691     4.9475002     0.1777413
     0.0610000     0.9125559     0.3831322     4.9474027     0.1807025
     0.0620000     0.9102660     0.3890796     4.9473037     0.1836636
     0.0630000     0.9079414     0.3950111     4.9472030     0.1866246
     0.0640000     0.9055821     0.4009263     4.9471007     0.1895856
     0.0650000     0.9031883     0.4068251     4.9469969     0.1925465
     0.0660000     0.9007601     0.4127073     4.9468914     0.1955074
     0.0670000     0.8982977     0.4185726     4.9467843     0.1984682
     0.0680000     0.8958011     0.4244209     4.9466756     0.2014290
     0.0690000     0.8932704     0.4302517     4.9465652     0.2043896
     0.0700000     0.8907058     0.4360651     4.9464533     0.2073502
     0.0710000     0.8881075     0.4418606     4.9463398     0.2103108
     0.0720000     0.8854755     0.4476382     4.9462246     0.2132712
     0.0730000     0.8828100     0.4533975     4.9461079     0.2162316
     0.0740000     0.8801110     0.4591384     4.9459895     0.2191920
     0.0750000     0.8773789     0.4648606     4.9458695     0.2221522
     0.0760000     0.8746135     0.4705640     4.9457479     0.2251124
     0.0770000     0.8718152     0.4762482     4.9456247     0.2280725
     0.0780000     0.8689841     0.4819131     4.9454999     0.2310326
     0.0790000     0.8661202     0.4875585     4.9453735     0.2339925
     0.0800000     0.8632237     0.4931842     4.9452455     0.2369524
     0.0810000     0.8602948     0.4987899     4.9451159     0.2399122
     0.0820000     0.8573336     0.5043754     4.9449846     0.2428720
     0.0830000     0.8543402     0.5099406     4.9448518     0.2458316
     0.0840000     0.8513148     0.5154852     4.9447173     0.2487912
     0.0850000     0.8482575     0.5210090     4.9445813     0.2517507
