#      t             x             y            vx            vy         phi-total
  0.000000E+00  5.000000E-01  0.000000E+00  0.000000E+00  3.140000E+00  0.000000E+00
  5.500000E-04  4.999757E-01  1.726973E-03 -8.685478E-02  3.139853E+00  3.454099E-03
  5.600000E-04  4.999748E-01  1.758371E-03 -8.843404E-02  3.139847E+00  3.516905E-03
  5.700000E-04  4.999739E-01  1.789769E-03 -9.001331E-02  3.139842E+00  3.579710E-03
  5.800000E-04  4.999730E-01  1.821168E-03 -9.159258E-02  3.139836E+00  3.642516E-03
  5.900000E-04  4.999720E-01  1.852566E-03 -9.317186E-02  3.139830E+00  3.705322E-03
  6.000000E-04  4.999711E-01  1.883964E-03 -9.475114E-02  3.139824E+00  3.768129E-03
  6.100000E-04  4.999701E-01  1.915362E-03 -9.633042E-02  3.139819E+00  3.830935E-03
  6.200000E-04  4.999692E-01  1.946761E-03 -9.790971E-02  3.139812E+00  3.893742E-03
  6.300000E-04  4.999682E-01  1.978159E-03 -9.948901E-02  3.139806E+00  3.956549E-03
  6.400000E-04  4.999672E-01  2.009557E-03 -1.010683E-01  3.139800E+00  4.019356E-03
  6.500000E-04  4.999661E-01  2.040955E-03 -1.026476E-01  3.139794E+00  4.082163E-03
  6.600000E-04  4.999651E-01  2.072352E-03 -1.042269E-01  3.139787E+00  4.144971E-03
  6.700000E-04  4.999640E-01  2.103750E-03 -1.058062E-01  3.139781E+00  4.207778E-03
  6.800000E-04  4.999630E-01  2.135148E-03 -1.073856E-01  3.139774E+00  4.270587E-03
  6.900000E-04  4.999619E-01  2.166546E-03 -1.089649E-01  3.139767E+00  4.333395E-03
  7.000000E-04  4.999608E-01  2.197943E-03 -1.105442E-01  3.139760E+00  4.396203E-03
  7.100000E-04  4.999596E-01  2.229341E-03 -1.121236E-01  3.139754E+00  4.459012E-03
  7.200000E-04  4.999585E-01  2.260738E-03 -1.137029E-01  3.139746E+00  4.521821E-03
  7.300000E-04  4.999573E-01  2.292136E-03 -1.152823E-01  3.139739E+00  4.584630E-03
  7.400000E-04  4.999562E-01  2.323533E-03 -1.168616E-01  3.139732E+00  4.647440E-03
  7.500000E-04  4.999550E-01  2.354930E-03 -1.184410E-01  3.139725E+00  4.710250E-03
  7.600000E-04  4.999538E-01  2.386327E-03 -1.200203E-01  3.139717E+00  4.773060E-03
  7.700000E-04  4.999526E-01  2.417725E-03 -1.215997E-01  3.139710E+00  4.835870E-03
  7.800000E-04  4.999513E-01  2.449122E-03 -1.231791E-01  3.139702E+00  4.898681E-03
  7.900000E-04  4.999501E-01  2.480519E-03 -1.247585E-01  3.139694E+00  4.961492E-03
  8.000000E-04  4.999488E-01  2.511915E-03 -1.263379E-01  3.139687E+00  5.024303E-03
  8.100000E-04  4.999476E-01  2.543312E-03 -1.279173E-01  3.139679E+00  5.087114E-03
  8.200000E-04  4.999463E-01  2.574709E-03 -1.294967E-01  3.139671E+00  5.149926E-03
  8.300000E-04  4.999449E-01  2.606105E-03 -1.310761E-01  3.139662E+00  5.212738E-03
  8.400000E-04  4.999436E-01  2.637502E-03 -1.326555E-01  3.139654E+00  5.275550E-03
  8.500000E-04  4.999423E-01  2.668899E-03 -1.342350E-01  3.139646E+00  5.338363E-03
  8.600000E-04  4.999409E-01  2.700295E-03 -1.358144E-01  3.139637E+00  5.401175E-03
  8.700000E-04  4.999395E-01  2.731691E-03 -1.373938E-01  3.139629E+00  5.463989E-03
  8.800000E-04  4.999382E-01  2.763087E-03 -1.389733E-01  3.139620E+00  5.526802E-03
  8.900000E-04  4.999368E-01  2.794483E-03 -1.405527E-01  3.139612E+00  5.589616E-03
  9.000000E-04  4.999353E-01  2.825880E-03 -1.421322E-01  3.139603E+00  5.652430E-03
  9.100000E-04  4.999339E-01  2.857275E-03 -1.437117E-01  3.139594E+00  5.715244E-03
  9.200000E-04  4.999324E-01  2.888671E-03 -1.452911E-01  3.139585E+00  5.778059E-03
  9.300000E-04  4.999310E-01  2.920067E-03 -1.468706E-01  3.139576E+00  5.840874E-03
  9.400000E-04  4.999295E-01  2.951463E-03 -1.484501E-01  3.139566E+00  5.903689E-03
  9.500000E-04  4.999280E-01  2.982858E-03 -1.500296E-01  3.139557E+00  5.966505E-03
  9.600000E-04  4.999265E-01  3.014254E-03 -1.516091E-01  3.139548E+00  6.029321E-03
  9.700000E-04  4.999249E-01  3.045649E-03 -1.531886E-01  3.139538E+00  6.092137E-03
