# damping:                 2.000000E-01
# drive amplitude          1.050000E+00
# drive frequency:         2.000000E+00
# dt:                      3.926991E-03
# periods:                200000
# points per period:       800
#
#     time             phi             omega
   6.281206E+005   1.877998E+000  -2.058837E+000
   6.281238E+005  -4.868143E-001  -2.766623E+000
   6.281269E+005   2.038062E+000  -1.827642E+000
   6.281300E+005  -3.832461E-001  -3.034378E+000
   6.281332E+005   1.451125E+000  -2.342452E+000
   6.281363E+005  -2.982339E-001  -2.686668E+000
   6.281395E+005   2.024450E+000  -1.890320E+000
   6.281426E+005  -4.338933E-001  -2.958423E+000
   6.281457E+005   1.620784E+000  -2.215556E+000
   6.281489E+005  -3.887889E-001  -2.699702E+000
   6.281520E+005   2.097605E+000  -1.789205E+000
   6.281552E+005  -3.564812E-001  -3.099889E+000
   6.281583E+005   1.322390E+000  -2.417491E+000
   6.281615E+005  -2.045805E-001  -2.713179E+000
   6.281646E+005   1.852346E+000  -2.086696E+000
   6.281677E+005  -4.883925E-001  -2.741321E+000
   6.281709E+005   2.093434E+000  -1.768800E+000
   6.281740E+005  -3.351042E-001  -3.122167E+000
   6.281772E+005   1.271733E+000  -2.446015E+000
   6.281803E+005  -1.643892E-001  -2.726651E+000
   6.281834E+005   1.772105E+000  -2.171373E+000
   6.281866E+005  -4.830963E-001  -2.675441E+000
   6.281897E+005   2.234253E+000  -1.613702E+000
   6.281929E+005  -1.054991E-001  -3.382753E+000
   6.281960E+005   7.354347E-001  -2.574703E+000
   6.281992E+005   4.630578E-001  -2.925878E+000
   6.282023E+005   5.685175E-001  -2.805276E+000
   6.282054E+005   5.230443E-001  -2.848647E+000
   6.282086E+005   5.516956E-001  -2.833848E+000
   6.282117E+005   5.230298E-001  -2.838188E+000
   6.282149E+005   5.609508E-001  -2.837846E+000
   6.282180E+005   5.062448E-001  -2.835649E+000
   6.282211E+005   5.878351E-001  -2.838695E+000
   6.282243E+005   4.670469E-001  -2.831618E+000
   6.282274E+005   6.497251E-001  -2.836952E+000
   6.282306E+005   3.815029E-001  -2.818181E+000
   6.282337E+005   7.931536E-001  -2.818381E+000
   6.282369E+005   2.020739E-001  -2.769315E+000
   6.282400E+005   1.135502E+000  -2.694344E+000
   6.282431E+005  -1.398616E-001  -2.624430E+000
   6.282463E+005   1.924833E+000  -2.035039E+000
   6.282494E+005  -4.975327E-001  -2.787516E+000
   6.282526E+005   2.000814E+000  -1.863206E+000
   6.282557E+005  -4.035500E-001  -2.985121E+000
   6.282588E+005   1.552002E+000  -2.272883E+000
   6.282620E+005  -3.580428E-001  -2.684801E+000
   6.282651E+005   2.096963E+000  -1.797709E+000
   6.282683E+005  -3.650096E-001  -3.089548E+000
   6.282714E+005   1.345161E+000  -2.404199E+000
   6.282745E+005  -2.219052E-001  -2.707835E+000
   6.282777E+005   1.885721E+000  -2.050144E+000
   6.282808E+005  -4.858363E-001  -2.774918E+000
   6.282840E+005   2.019787E+000  -1.846772E+000
   6.282871E+005  -3.954008E-001  -3.007762E+000
   6.282903E+005   1.506004E+000  -2.305417E+000
   6.282934E+005  -3.321603E-001  -2.683615E+000
   6.282965E+005   2.070629E+000  -1.832677E+000
   6.282997E+005  -3.949679E-001  -3.038359E+000
   6.283028E+005   1.451895E+000  -2.338409E+000
   6.283060E+005  -2.969611E-001  -2.689774E+000
   6.283091E+005   2.016651E+000  -1.898776E+000
   6.283122E+005  -4.383173E-001  -2.947105E+000
   6.283154E+005   1.644757E+000  -2.196444E+000
   6.283185E+005  -3.988118E-001  -2.705689E+000
