# damping:                 2.000000E-01
# drive amplitude          1.036000E+00
# drive frequency:         2.000000E+00
# dt:                      3.926991E-03
# periods:                200000
# points per period:       800
#
#     time             phi             omega
   6.281206E+005   2.034397E+000  -1.858111E+000
   6.281238E+005  -3.789430E-001  -3.019253E+000
   6.281269E+005   1.472380E+000  -2.318749E+000
   6.281300E+005  -2.898937E-001  -2.707113E+000
   6.281332E+005   1.984602E+000  -1.921152E+000
   6.281363E+005  -4.165985E-001  -2.938410E+000
   6.281395E+005   1.646719E+000  -2.188702E+000
   6.281426E+005  -3.768578E-001  -2.729566E+000
   6.281457E+005   2.032143E+000  -1.849752E+000
   6.281489E+005  -3.707158E-001  -3.028211E+000
   6.281520E+005   1.450915E+000  -2.333992E+000
   6.281552E+005  -2.769691E-001  -2.707380E+000
   6.281583E+005   1.968587E+000  -1.940775E+000
   6.281615E+005  -4.257017E-001  -2.914783E+000
   6.281646E+005   1.698215E+000  -2.146024E+000
   6.281677E+005  -3.940686E-001  -2.748446E+000
   6.281709E+005   2.008746E+000  -1.869512E+000
   6.281740E+005  -3.816501E-001  -3.000488E+000
   6.281772E+005   1.507929E+000  -2.295839E+000
   6.281803E+005  -3.117501E-001  -2.705496E+000
   6.281834E+005   2.013314E+000  -1.886015E+000
   6.281866E+005  -3.974597E-001  -2.982704E+000
   6.281897E+005   1.551018E+000  -2.262878E+000
   6.281929E+005  -3.340936E-001  -2.710053E+000
   6.281960E+005   2.028824E+000  -1.864155E+000
   6.281992E+005  -3.828855E-001  -3.010976E+000
   6.282023E+005   1.489857E+000  -2.306857E+000
   6.282054E+005  -3.004290E-001  -2.706740E+000
   6.282086E+005   1.997731E+000  -1.904991E+000
   6.282117E+005  -4.082409E-001  -2.958453E+000
   6.282149E+005   1.603262E+000  -2.223238E+000
   6.282180E+005  -3.590692E-001  -2.718324E+000
   6.282211E+005   2.037966E+000  -1.848219E+000
   6.282243E+005  -3.707993E-001  -3.031481E+000
   6.282274E+005   1.445196E+000  -2.337297E+000
   6.282306E+005  -2.730661E-001  -2.708195E+000
   6.282337E+005   1.962221E+000  -1.948212E+000
   6.282369E+005  -4.287450E-001  -2.906015E+000
   6.282400E+005   1.717317E+000  -2.129752E+000
   6.282431E+005  -3.993077E-001  -2.757052E+000
   6.282463E+005   1.995455E+000  -1.881729E+000
   6.282494E+005  -3.878168E-001  -2.984292E+000
   6.282526E+005   1.541599E+000  -2.272018E+000
   6.282557E+005  -3.303782E-001  -2.707085E+000
   6.282588E+005   2.030910E+000  -1.862940E+000
   6.282620E+005  -3.823700E-001  -3.012867E+000
   6.282651E+005   1.486118E+000  -2.309325E+000
   6.282683E+005  -2.981532E-001  -2.706864E+000
   6.282714E+005   1.994830E+000  -1.908555E+000
   6.282745E+005  -4.101477E-001  -2.953986E+000
   6.282777E+005   1.612931E+000  -2.215674E+000
   6.282808E+005  -3.632685E-001  -2.720472E+000
   6.282840E+005   2.037749E+000  -1.847374E+000
   6.282871E+005  -3.699632E-001  -3.032387E+000
   6.282903E+005   1.443036E+000  -2.338798E+000
   6.282934E+005  -2.717189E-001  -2.708284E+000
   6.282965E+005   1.960406E+000  -1.950391E+000
   6.282997E+005  -4.296283E-001  -2.903472E+000
   6.283028E+005   1.722881E+000  -2.124960E+000
   6.283060E+005  -4.007038E-001  -2.759737E+000
   6.283091E+005   1.991085E+000  -1.885804E+000
   6.283122E+005  -3.897491E-001  -2.979010E+000
   6.283154E+005   1.552611E+000  -2.264034E+000
   6.283185E+005  -3.361548E-001  -2.708059E+000
